index;author;title
199;"Baratelli, Angela Christina Finholdt";"Estudo de materiais para eletrodos de tochas de plasma."
200;"Varón Cardona, Lina Maria";"Estudo experimental da secagem e carbonização do Eucalipto Saligna para produção de carvão vegetal."
201;"Marcos, Kelly Nanci Pinto";"Área específica, morfologia e estrutura de aluminas obtidas a partir de alguns precursores."
202;"Rosário, Deise Cristina Carvalho do";"Estudo da influência dos íons Mg2+ e Zr4+ na transição de fase amorfo-gama da alumina."
203;"Takano, Cyro";"Estudo da influência de alguns combustíveis na sinterização de minério hematítico."
204;"Castro, Edmilson Renato de";"Contribuição ao desenvolvimento da redução carbotérmica de óxidos metálicos empregando energia de microondas."
205;"Moraes, Luís Augusto Batista de";"Caracterização de macro e micro-inclusões em aços acalmados ao alumínio produzidos por lingotamento contínuo."
206;"Rojas Arango, Juan Marcelo";"Análise térmica de ligas Al-Si com adição de inoculante."
207;"Rocha, David Bellentani";"Estudo da soldabilidade do tubo API 5L X80 utilizando os processos de soldagem: MAG com transferência controlada e eletrodo tubular."
208;"Carvalho Junior, Ivan Parreiras de";"Estudo da utilização de energia de microondas na redução de minério de ferro por carbono na forma de pelotas auto-redutoras."
209;"Lima, Aurianny Pereira";"Estudo da fase cristalina beta em compósitos de polipropileno."
210;"Medeiros, Felipe Albuquerque";"Caracterização de blenda poli-cloreto de vinila e poli-metacrilato de metila, processamento, propriedades e potencial de aplicação."
211;"Kersting, Daniel de Freitas";"Cura de compósitos de sistemas epóxi via irradiação de micro-ondas."
212;"Felisberto, Camila Benini";"Rendimento e cor de selênio e seus compostos na coloração de vidros sodo-cálcicos."
213;"Palmer Martín, Guillermo";"Estudo da viscoelasticidade linear e não linear de misturas de PP/PA-6 compatibilizadas ou não."
214;"Marcos, Paulo Jorge Brazão";"Efeitos de superfície na síntese e estabilização de materiais cerâmicos à base de ZrO2 sintetizados pelo método Pechini."
215;"Moraes, Viviane Tavares de";"Recuperação de metais a partir do processamento mecânico e hidrometalúrgico de placas de circuito impresso de celulares obsoletos."
